id,predicted_stars,actual_stars,mse
0C4b8LsgLuL7_DuPXE729A,4,5,1
0C4b8LsgLuL7_DuPXE729A,5,5,0
0C4b8LsgLuL7_DuPXE729A,4,5,1
0C4b8LsgLuL7_DuPXE729A,4,4,0
0C4b8LsgLuL7_DuPXE729A,4,4,0
87rslhpXfVcJXN1_DiUQ9A,5,5,0
87rslhpXfVcJXN1_DiUQ9A,5,4,1
2O_ec-By_tho2KeXvcnBuQ,1,1,0
2O_ec-By_tho2KeXvcnBuQ,5,5,0
2O_ec-By_tho2KeXvcnBuQ,5,4,1
2O_ec-By_tho2KeXvcnBuQ,5,5,0
2O_ec-By_tho2KeXvcnBuQ,5,4,1
2O_ec-By_tho2KeXvcnBuQ,4,4,0
2O_ec-By_tho2KeXvcnBuQ,4,4,0
2O_ec-By_tho2KeXvcnBuQ,1,2,1
2O_ec-By_tho2KeXvcnBuQ,4,4,0
2O_ec-By_tho2KeXvcnBuQ,5,5,0
2O_ec-By_tho2KeXvcnBuQ,4,4,0
2O_ec-By_tho2KeXvcnBuQ,4,4,0
2O_ec-By_tho2KeXvcnBuQ,5,5,0
6a4-SPP4QJbJuHoMhPKnVQ,3,2,1
6a4-SPP4QJbJuHoMhPKnVQ,4,3,1
6a4-SPP4QJbJuHoMhPKnVQ,5,5,0
6a4-SPP4QJbJuHoMhPKnVQ,1,1,0
6a4-SPP4QJbJuHoMhPKnVQ,4,3,1
7SfpjStnkYSPZwEDSklHWA,5,4,1
1SlvPOQ39vZa9vyeOTiAUA,4,2,4
24f5ie972m_bYpirVW-dZA,4,3,1
24f5ie972m_bYpirVW-dZA,4,4,0
6_YR7epdhDWU_E5Hj4nZrA,1,1,0
6_YR7epdhDWU_E5Hj4nZrA,5,3,4
I9Hzni6j2MJlBLXPtg-cCQ,5,4,1
I9Hzni6j2MJlBLXPtg-cCQ,5,4,1
I9Hzni6j2MJlBLXPtg-cCQ,5,4,1
CaMwTEn92eJ1T2Zfr1xcnA,5,5,0
CaMwTEn92eJ1T2Zfr1xcnA,1,4,9
5li4Wxd__uYGrgB8_n_uzw,4,5,1
5li4Wxd__uYGrgB8_n_uzw,1,1,0
5li4Wxd__uYGrgB8_n_uzw,5,4,1
7CD4qTysNB-lis85QFS8Tg,3,2,1
4H7Olit19_wdu14hJI-tiw,5,5,0
-J6xWAvDJJW4zb7J9YpYOA,4,3,1
58sCCOPM4vS4yQCEwL1pjA,4,3,1
EIb85lCA6HMzxdsacYtjGA,4,3,1
DNvlDfZ399DMTNejbT9C-A,5,3,4
6J89kFOcOOX1tuphLc93DA,5,5,0
6J89kFOcOOX1tuphLc93DA,5,4,1
6J89kFOcOOX1tuphLc93DA,4,5,1
6zm33qiJAMtjMSXGlfIFKA,1,1,0
-qWLEeASD3h1gl9qLipWEQ,1,2,1
5rZxENz57t-SDv1tIS8lOg,4,4,0
5rZxENz57t-SDv1tIS8lOg,1,1,0
5rZxENz57t-SDv1tIS8lOg,4,3,1
8dSKEPQn0pmZEmWTKZI81Q,1,2,1
8dSKEPQn0pmZEmWTKZI81Q,5,5,0
8dSKEPQn0pmZEmWTKZI81Q,3,4,1
8dSKEPQn0pmZEmWTKZI81Q,4,4,0
B60N0Fku2lkuQpTJ6t-E7Q,4,3,1
0u4Lmqi2hPCwwxJMbA7-ng,5,4,1
4A_KR6E3ziZvuNVruEJ2lA,1,1,0
8jWuRoHUFCXPdGVIYHTg5g,1,1,0
8jWuRoHUFCXPdGVIYHTg5g,1,1,0
8jWuRoHUFCXPdGVIYHTg5g,5,2,9
8jWuRoHUFCXPdGVIYHTg5g,4,3,1
1LOr_-vGiVMNod08H9T-1w,4,4,0
1LOr_-vGiVMNod08H9T-1w,1,1,0
1LOr_-vGiVMNod08H9T-1w,4,4,0
1LOr_-vGiVMNod08H9T-1w,1,3,4
1LOr_-vGiVMNod08H9T-1w,4,4,0
-Is6Ney1wmsJAjvDdkaaaQ,1,2,1
GJcodz8-2m7_BWzUfqlccw,1,5,16
0M7rIhQLKD-j2XSnKgt2ng,3,4,1
2O_ec-By_tho2KeXvcnBuQ,3,3,0
2O_ec-By_tho2KeXvcnBuQ,4,4,0
2O_ec-By_tho2KeXvcnBuQ,4,3,1
EHgGscaiJBghjZVT9hsBFw,2,1,1
EHgGscaiJBghjZVT9hsBFw,4,4,0
EHgGscaiJBghjZVT9hsBFw,5,3,4
EHgGscaiJBghjZVT9hsBFw,5,4,1
EHgGscaiJBghjZVT9hsBFw,5,5,0
EHgGscaiJBghjZVT9hsBFw,3,4,1
EHgGscaiJBghjZVT9hsBFw,2,2,0
-fX1N-Pg_kxa7KK6gCv8Ag,3,2,1
-fX1N-Pg_kxa7KK6gCv8Ag,4,3,1
-fX1N-Pg_kxa7KK6gCv8Ag,2,1,1
-fX1N-Pg_kxa7KK6gCv8Ag,5,5,0
1kUjJHO_Kwthd7jCDozuYg,5,5,0
6OhgauonbNtqLRpXXn_nJA,5,4,1
6OhgauonbNtqLRpXXn_nJA,5,1,16
6yYLF5uu2mBs6xFEWOJO6w,5,5,0
CDcSrKLFJTjdtXFOAcWt4w,5,4,1
4gO38_nlrPCHqEcs_6-AAg,4,3,1
EPkV2_H0TRcARa-2IFZ-2A,4,4,0
-jKhfsXol4FxbRjK8aUsLA,4,4,0
-jKhfsXol4FxbRjK8aUsLA,4,2,4
Cj6FN6h8EZWTcPB3h7I0Ow,2,2,0
Cj6FN6h8EZWTcPB3h7I0Ow,5,5,0
Cj6FN6h8EZWTcPB3h7I0Ow,5,4,1
Cj6FN6h8EZWTcPB3h7I0Ow,1,2,1
Cj6FN6h8EZWTcPB3h7I0Ow,4,3,1
2d9yZ11uVa83OEQWxe4vlQ,5,5,0
2d9yZ11uVa83OEQWxe4vlQ,5,5,0
2d9yZ11uVa83OEQWxe4vlQ,5,5,0
2d9yZ11uVa83OEQWxe4vlQ,5,5,0
2d9yZ11uVa83OEQWxe4vlQ,5,5,0
2d9yZ11uVa83OEQWxe4vlQ,4,4,0
2d9yZ11uVa83OEQWxe4vlQ,5,4,1
2d9yZ11uVa83OEQWxe4vlQ,4,4,0
2d9yZ11uVa83OEQWxe4vlQ,5,5,0
2d9yZ11uVa83OEQWxe4vlQ,5,5,0
EGzsR_Tyd0QOaZ6g7wPl-w,1,4,9
HORILLsQHEMc5o9bIoDJMA,5,4,1
HORILLsQHEMc5o9bIoDJMA,5,4,1
2qc-hhb4QrwcavplOb26rw,4,2,4
2qc-hhb4QrwcavplOb26rw,5,5,0
8S_6ltVRDCXp58xAAlVPAw,4,3,1
2ERnU_ihjdwusbdlXSf3gg,4,5,1
2ERnU_ihjdwusbdlXSf3gg,1,1,0
2ERnU_ihjdwusbdlXSf3gg,5,4,1
2ERnU_ihjdwusbdlXSf3gg,4,4,0
2ERnU_ihjdwusbdlXSf3gg,5,4,1
2ERnU_ihjdwusbdlXSf3gg,5,3,4
8wFiWvlfOVt1zvAvsoLw2g,5,4,1
DU2btqXJkYR1_V3ix_bb2g,4,3,1
DU2btqXJkYR1_V3ix_bb2g,3,2,1
-zRDLAmg2h9uKpNY0OYdVQ,1,1,0
-zRDLAmg2h9uKpNY0OYdVQ,5,3,4
-zRDLAmg2h9uKpNY0OYdVQ,5,5,0
-zRDLAmg2h9uKpNY0OYdVQ,4,3,1
-zRDLAmg2h9uKpNY0OYdVQ,4,1,9
-zRDLAmg2h9uKpNY0OYdVQ,4,4,0
-zRDLAmg2h9uKpNY0OYdVQ,4,3,1
1pOqoAixFXrVci0kSZnbzQ,4,4,0
5FD6PHDsuu93TGXhzWqrKw,4,2,4
2uJoVAx6SZBPTu925vy_bQ,5,2,9
2uJoVAx6SZBPTu925vy_bQ,5,5,0
3jlyMZjr7tQwXnoOsN_lQQ,4,3,1
3jlyMZjr7tQwXnoOsN_lQQ,5,4,1
44IAhkyHsBGMrggWm1HICw,5,5,0
44IAhkyHsBGMrggWm1HICw,4,4,0
44IAhkyHsBGMrggWm1HICw,4,4,0
4LCevRnZVQqRmA148M8HEw,5,5,0
-iBk1_3M_efQtY6Bcygp5w,4,4,0
-iBk1_3M_efQtY6Bcygp5w,5,5,0
KWTv8elo9HiN9sIKvN0_bQ,5,5,0
KWTv8elo9HiN9sIKvN0_bQ,5,5,0
KWTv8elo9HiN9sIKvN0_bQ,4,5,1
KWTv8elo9HiN9sIKvN0_bQ,4,5,1
2uUPHRP9NZbXGNd6PbzZQQ,4,4,0
2uUPHRP9NZbXGNd6PbzZQQ,5,5,0
G9-O-eRMtgsw_pfWXVCEfQ,4,4,0
5K3XBVfTIGf9E4vrc9UBNA,1,1,0
Nt0ILbydRyDbE3BPRZCrew,5,4,1
2F2xrnxCJ_WdXfWGxJcn_g,1,1,0
OiutT-PHcZd6y2cEJ_yEVw,3,3,0
OiutT-PHcZd6y2cEJ_yEVw,5,5,0
OiutT-PHcZd6y2cEJ_yEVw,3,3,0
OiutT-PHcZd6y2cEJ_yEVw,1,1,0
4gO38_nlrPCHqEcs_6-AAg,2,2,0
5idlmsT1O86_ywGJtqot5w,3,3,0
5idlmsT1O86_ywGJtqot5w,5,1,16
7k6uHs6oPyh5AuaqrhC5yw,2,2,0
7k6uHs6oPyh5AuaqrhC5yw,3,3,0
7k6uHs6oPyh5AuaqrhC5yw,4,4,0
7k6uHs6oPyh5AuaqrhC5yw,4,4,0
A4GjSb9NhUKGUoyyGHNwYQ,1,1,0
A4GjSb9NhUKGUoyyGHNwYQ,5,5,0
A4GjSb9NhUKGUoyyGHNwYQ,4,3,1
8vnQAJ3zzI-iX_d0SI7BUA,2,4,4
8vnQAJ3zzI-iX_d0SI7BUA,1,2,1
8vnQAJ3zzI-iX_d0SI7BUA,4,5,1
8vnQAJ3zzI-iX_d0SI7BUA,1,1,0
8vnQAJ3zzI-iX_d0SI7BUA,1,2,1
8vnQAJ3zzI-iX_d0SI7BUA,3,4,1
8vnQAJ3zzI-iX_d0SI7BUA,5,5,0
8vnQAJ3zzI-iX_d0SI7BUA,3,3,0
8vnQAJ3zzI-iX_d0SI7BUA,5,5,0
8vnQAJ3zzI-iX_d0SI7BUA,4,3,1
8vnQAJ3zzI-iX_d0SI7BUA,2,2,0
QFMiKdWCaYAORH7rIMKSrg,4,4,0
QuZ_QZbW6Th-SouyQyCJ2A,4,5,1
-bVpSr0gfct_Rka_AWZYAw,1,1,0
-bVpSr0gfct_Rka_AWZYAw,1,1,0
3mFBCl1ZuSiMFUWjgCbM4g,4,3,1
3mFBCl1ZuSiMFUWjgCbM4g,4,4,0
3mFBCl1ZuSiMFUWjgCbM4g,5,5,0
IJrRJLKS7qxzzVUkh1U5iA,4,4,0
O1RT7gIIFGwGE9OKS7dotA,5,5,0
0q8A_jB8ft7vExBQpxL2lg,5,4,1
4LAtkaAPEnWSdWbTi0kHJw,5,4,1
9Flt2bgEjCDiP21101zUcg,5,5,0
9Flt2bgEjCDiP21101zUcg,2,2,0
MFrCj5Ta-kE2ZxmiY6sFxg,1,1,0
MFrCj5Ta-kE2ZxmiY6sFxg,5,5,0
MFrCj5Ta-kE2ZxmiY6sFxg,4,4,0
UNVYKGIq6jwcAnP1sT7jgg,1,2,1
5rWfJa_61-dMVstA_e9FHQ,5,5,0
-TWZ4-AM76pUxPIt47mInw,5,2,9
-TWZ4-AM76pUxPIt47mInw,4,4,0
7cpPo_fb1TYJ-yoNJGs-kQ,1,1,0
0X4D58d_nShvVeN5FeYiHA,5,4,1
0X4D58d_nShvVeN5FeYiHA,4,1,9
3Fr9RZ8Hfz1iWk51C2RMWg,1,2,1
IPyrraIafBs8afeVMGmfCQ,5,5,0
IPyrraIafBs8afeVMGmfCQ,5,5,0
IPyrraIafBs8afeVMGmfCQ,5,5,0
IPyrraIafBs8afeVMGmfCQ,5,5,0
2QbWs3zL31_pRN2xo3obwA,5,5,0
EkrQy-HGatKn-2PTssaJ9g,4,4,0
1pOqoAixFXrVci0kSZnbzQ,5,4,1
15mZTt8yz8iH11fZ943FxA,3,2,1
15mZTt8yz8iH11fZ943FxA,4,4,0
15mZTt8yz8iH11fZ943FxA,1,1,0
1OnZRj4yIo4szhapTFwj5w,5,4,1
1OnZRj4yIo4szhapTFwj5w,4,3,1
1OnZRj4yIo4szhapTFwj5w,5,4,1
BShmKdQIkKmB89fmvOe9Nw,5,3,4
